Sun Mar 24 17:22:31 2024    prof.out

         1141209 function calls (1123906 primitive calls) in 2.888 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.001    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
       82    0.000    0.000    0.001    0.000 core.py:2266(__init__)
      439    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       19    0.000    0.000    0.001    0.000 ipaddress.py:1475(__init__)
        1    0.000    0.000    0.001    0.001 argparsing.py:36(Parser)
      449    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.001    0.001 figure.py:2360(Figure)
        1    0.000    0.000    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       34    0.000    0.000    0.001    0.000 <frozen ntpath>:319(expanduser)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 outcomes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 logging.py:83(ColoredLevelFormatter)
      196    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       24    0.000    0.000    0.001    0.000 pathlib.py:484(_parse_args)
      927    0.000    0.000    0.001    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pprint.py:62(PrettyPrinter)
       18    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.001    0.001 reports.py:60(BaseReport)
        1    0.000    0.000    0.001    0.001 fixtures.py:952(FixtureDef)
       37    0.000    0.000    0.001    0.000 transforms.py:1324(__init_subclass__)
       35    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
      170    0.000    0.000    0.000    0.000 cm.py:84(__getitem__)
      146    0.000    0.000    0.000    0.000 _parser.py:903(_parse_flags)
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
      598    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      409    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        1    0.000    0.000    0.000    0.000 TiffTags.py:421(_populate)
        1    0.000    0.000    0.000    0.000 pytester.py:252(HookRecorder)
       16    0.000    0.000    0.000    0.000 core.py:4084(__init__)
       13    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 terminal.py:350(TerminalReporter)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
     1817    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
       35    0.000    0.000    0.000    0.000 core.py:2315(__init__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
       32    0.000    0.000    0.000    0.000 enum.py:1006(_find_new_)
      632    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
     1800    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      683    0.000    0.000    0.000    0.000 enum.py:193(__get__)
      454    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 runner.py:268(CallInfo)
        1    0.000    0.000    0.000    0.000 main.py:542(Session)
        1    0.000    0.000    0.000    0.000 _parse.py:1(<module>)
      684    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.000    0.000 fixtures.py:339(FixtureRequest)
       18    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
       21    0.000    0.000    0.000    0.000 fixtures.py:1145(wrap_function_to_error_out_if_called_directly)
       84    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
      118    0.000    0.000    0.000    0.000 typing.py:1648(<genexpr>)
       29    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
      549    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       32    0.000    0.000    0.000    0.000 __init__.py:667(__init__)
       14    0.000    0.000    0.000    0.000 core.py:5585(__init__)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       11    0.000    0.000    0.000    0.000 version.py:45(parse)
        4    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
        8    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
       27    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
       66    0.000    0.000    0.000    0.000 enum.py:977(_find_data_type_)
       50    0.000    0.000    0.000    0.000 typing.py:336(_flatten_literal_params)
      152    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      102    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        6    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
  306/282    0.000    0.000    0.000    0.000 results.py:159(__init__)
       11    0.000    0.000    0.000    0.000 version.py:186(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
      200    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
       53    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rewrite.py:67(AssertionRewritingHook)
        1    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
       39    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
        1    0.000    0.000    0.000    0.000 __init__.py:386(PytestPluginManager)
      131    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
      227    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       18    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        1    0.000    0.000    0.000    0.000 code.py:192(TracebackEntry)
       36    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 pathlib.py:281(_make_selector)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        1    0.000    0.000    0.000    0.000 pathlib.py:349(__init__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
     1456    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 pathlib.py:192(compile_pattern)
       11    0.000    0.000    0.000    0.000 core.py:1663(__call__)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:552(get_configdir)
       49    0.000    0.000    0.000    0.000 pathlib.py:536(__str__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2787(NavigationToolbar2)
       60    0.000    0.000    0.000    0.000 inspect.py:2755(replace)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     1000    0.000    0.000    0.000    0.000 simul.py:9(__init__)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
      130    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
      409    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
      428    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        8    0.000    0.000    0.000    0.000 core.py:561(_setResultsName)
        6    0.000    0.000    0.000    0.000 pathlib.py:1245(is_dir)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
      554    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
      958    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        7    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
     3000    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       98    0.000    0.000    0.000    0.000 enum.py:931(_check_for_existing_members_)
       18    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        1    0.000    0.000    0.000    0.000 contour.py:705(ContourSet)
       78    0.000    0.000    0.000    0.000 inspect.py:2065(_signature_is_builtin)
      115    0.000    0.000    0.000    0.000 dataclasses.py:368(field)
        4    0.000    0.000    0.000    0.000 typing.py:2986(<dictcomp>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
       44    0.000    0.000    0.000    0.000 typing.py:1040(__typing_subst__)
      132    0.000    0.000    0.000    0.000 typing.py:1825(<genexpr>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       41    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
        1    0.000    0.000    0.000    0.000 stash.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 capture.py:609(MultiCapture)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 ticker.py:2242(LogLocator)
        6    0.000    0.000    0.000    0.000 pathlib.py:1008(stat)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
      656    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      508    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      234    0.000    0.000    0.000    0.000 inspect.py:1947(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
     2271    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 capture.py:201(DontReadFromInput)
        1    0.000    0.000    0.000    0.000 nodes.py:561(FSCollector)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
      356    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       34    0.000    0.000    0.000    0.000 typing.py:952(__init__)
      147    0.000    0.000    0.000    0.000 TiffTags.py:27(__new__)
      227    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
        2    0.000    0.000    0.000    0.000 pathlib.py:1111(mkdir)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
       39    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
     1166    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       18    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
      641    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
       12    0.000    0.000    0.000    0.000 typing.py:2052(__init_subclass__)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
       48    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 reports.py:244(TestReport)
       23    0.000    0.000    0.000    0.000 core.py:4948(__init__)
        1    0.000    0.000    0.000    0.000 python.py:878(IdMaker)
       44    0.000    0.000    0.000    0.000 results.py:533(copy)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
      861    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _tracing.py:1(<module>)
       81    0.000    0.000    0.000    0.000 typing.py:928(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 core.py:450(DebugActions)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 python.py:1659(Function)
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
      227    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
        7    0.000    0.000    0.000    0.000 core.py:5590(__add__)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
        1    0.000    0.000    0.000    0.000 monkeypatch.py:117(MonkeyPatch)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
        1    0.000    0.000    0.000    0.000 unicode.py:118(pyparsing_unicode)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
       24    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
       64    0.000    0.000    0.000    0.000 enum.py:770(__getattr__)
        1    0.000    0.000    0.000    0.000 contour.py:71(ContourLabeler)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      113    0.000    0.000    0.000    0.000 dataclasses.py:449(_field_init)
      148    0.000    0.000    0.000    0.000 dataclasses.py:820(_set_qualname)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      244    0.000    0.000    0.000    0.000 typing.py:284(_check_generic)
        1    0.000    0.000    0.000    0.000 common.py:422(<listcomp>)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
       83    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
      209    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       33    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
        1    0.000    0.000    0.000    0.000 source.py:18(Source)
        1    0.000    0.000    0.000    0.000 code.py:1127(ExceptionChainRepr)
        1    0.000    0.000    0.000    0.000 structures.py:194(Mark)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       28    0.000    0.000    0.000    0.000 pathlib.py:657(stem)
       10    0.000    0.000    0.000    0.000 core.py:4147(_generateDefaultName)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       60    0.000    0.000    0.000    0.000 dataclasses.py:401(_tuple_str)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x000002668682A160}
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
      395    0.000    0.000    0.000    0.000 typing.py:1706(__eq__)
        1    0.000    0.000    0.000    0.000 rewrite.py:602(AssertionRewriter)
        1    0.000    0.000    0.000    0.000 nodes.py:656(Item)
        1    0.000    0.000    0.000    0.000 widgets.py:3809(PolygonSelector)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
      318    0.000    0.000    0.000    0.000 __init__.py:781(__iter__)
       11    0.000    0.000    0.000    0.000 functools.py:651(cache)
      671    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
    14/10    0.000    0.000    0.000    0.000 typing.py:1514(__repr__)
        7    0.000    0.000    0.000    0.000 enum.py:1505(__or__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        1    0.000    0.000    0.000    0.000 code.py:1164(ReprTraceback)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
        1    0.000    0.000    0.000    0.000 reports.py:386(CollectReport)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
    54/36    0.000    0.000    0.000    0.000 typing.py:230(_type_repr)
       36    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 version.py:36(_Version)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python.py:1051(CallSpec2)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      743    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       30    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
       67    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
       78    0.000    0.000    0.000    0.000 util.py:111(set_)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 structures.py:574(NodeKeywords)
      866    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       33    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
      175    0.000    0.000    0.000    0.000 typing.py:911(__hash__)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
      211    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
       52    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
      208    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 logging.py:406(LogCaptureFixture)
      154    0.000    0.000    0.000    0.000 core.py:757(preParse)
        1    0.000    0.000    0.000    0.000 image.py:1034(NonUniformImage)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
       18    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
        1    0.000    0.000    0.000    0.000 table.py:37(Cell)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
      443    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      115    0.000    0.000    0.000    0.000 dataclasses.py:287(__init__)
       29    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
        1    0.000    0.000    0.000    0.000 expression.py:70(Scanner)
       35    0.000    0.000    0.000    0.000 dataclasses.py:573(<listcomp>)
      210    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
      102    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 recwarn.py:172(WarningsRecorder)
      420    0.000    0.000    0.000    0.000 dataclasses.py:425(<genexpr>)
    16/14    0.000    0.000    0.000    0.000 typing.py:1679(__repr__)
    14/10    0.000    0.000    0.000    0.000 typing.py:1520(<listcomp>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:238(reload_library)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      851    0.000    0.000    0.000    0.000 inspect.py:2743(default)
        1    0.000    0.000    0.000    0.000 widgets.py:3733(LassoSelector)
        2    0.000    0.000    0.000    0.000 pathlib.py:313(select_from)
        1    0.000    0.000    0.000    0.000 fixtures.py:1169(FixtureFunctionMarker)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
        1    0.000    0.000    0.000    0.000 capture.py:713(CaptureManager)
        1    0.000    0.000    0.000    0.000 widgets.py:3051(ToolHandles)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      160    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       49    0.000    0.000    0.000    0.000 typing.py:2590(overload)
       51    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
        1    0.000    0.000    0.000    0.000 cycler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scope.py:20(Scope)
       78    0.000    0.000    0.000    0.000 inspect.py:2077(_signature_is_functionlike)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 terminal.py:116(TestShortLogReport)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       11    0.000    0.000    0.000    0.000 rcsetup.py:336(_validate_cmap)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
        1    0.000    0.000    0.000    0.000 pytester.py:1552(LineMatcher)
       45    0.000    0.000    0.000    0.000 typing.py:296(_unpack_args)
       28    0.000    0.000    0.000    0.000 typing.py:1536(__mro_entries__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        3    0.000    0.000    0.000    0.000 core.py:1613(__invert__)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:2940(ToolLineHandles)
        1    0.000    0.000    0.000    0.000 core.py:198(update_user_library)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        2    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      105    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
