Sun Mar 24 17:22:31 2024    prof.out

         1141209 function calls (1123906 primitive calls) in 2.888 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.028    0.028 linalg.py:1(<module>)
      651    0.010    0.000    0.028    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.027    0.027 Image.py:1(<module>)
        1    0.000    0.000    0.027    0.027 offsetbox.py:1(<module>)
        2    0.000    0.000    0.026    0.013 utils.py:1(<module>)
        1    0.000    0.000    0.026    0.026 message.py:1(<module>)
      388    0.026    0.000    0.026    0.000 {method 'read' of '_io.BufferedReader' objects}
      973    0.002    0.000    0.026    0.000 __init__.py:711(__setitem__)
      451    0.026    0.000    0.026    0.000 {built-in method builtins.dir}
      227    0.001    0.000    0.025    0.000 _compiler.py:573(_code)
  429/305    0.000    0.000    0.025    0.000 typing.py:486(__getitem__)
     6074    0.015    0.000    0.025    0.000 inspect.py:2686(__init__)
        1    0.000    0.000    0.024    0.024 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
   106682    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
      766    0.004    0.000    0.023    0.000 typing.py:1360(__init__)
        1    0.000    0.000    0.023    0.023 polar.py:1(<module>)
      440    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      776    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      437    0.001    0.000    0.022    0.000 artist.py:1536(number_of_parameters)
      304    0.002    0.000    0.022    0.000 typing.py:665(Union)
    71170    0.022    0.000    0.022    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.022    0.022 lines.py:1(<module>)
      562    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      125    0.001    0.000    0.021    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.021    0.021 image.py:1(<module>)
    30/25    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    30/25    0.004    0.000    0.021    0.001 {built-in method _imp.exec_dynamic}
      515    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       94    0.001    0.000    0.020    0.000 __init__.py:1391(_preprocess_data)
      954    0.001    0.000    0.020    0.000 artist.py:1542(is_alias)
157921/156736    0.019    0.000    0.019    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.019    0.019 category.py:1(<module>)
        1    0.000    0.000    0.019    0.019 font_manager.py:1(<module>)
        1    0.000    0.000    0.018    0.018 spines.py:1(<module>)
      105    0.004    0.000    0.018    0.000 artist.py:170(<listcomp>)
 1152/227    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
    75554    0.014    0.000    0.018    0.000 {built-in method builtins.isinstance}
     4252    0.008    0.000    0.017    0.000 artist.py:1555(aliased_name)
      479    0.000    0.000    0.016    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.016    0.016 axis3d.py:1(<module>)
       60    0.000    0.000    0.016    0.000 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
2922/2484    0.007    0.000    0.015    0.000 {built-in method __new__ of type object at 0x00007FFC9FC4D4C0}
       33    0.000    0.000    0.015    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.015    0.015 _parser.py:1(<module>)
       32    0.015    0.000    0.015    0.000 {built-in method io.open}
      388    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
17088/17075    0.012    0.000    0.015    0.000 {method 'join' of 'str' objects}
      806    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:392(cached)
    54734    0.014    0.000    0.014    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.014    0.014 nodes.py:1(<module>)
     1507    0.006    0.000    0.014    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.014    0.014 legacypath.py:1(<module>)
        1    0.000    0.000    0.014    0.014 quiver.py:1(<module>)
        1    0.014    0.014    0.014    0.014 spines.py:14(Spine)
      418    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.014    0.014 debugging.py:1(<module>)
      905    0.010    0.000    0.013    0.000 inspect.py:2972(__init__)
        2    0.000    0.000    0.013    0.007 pathlib.py:1(<module>)
    77854    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
       39    0.001    0.000    0.012    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.012    0.012 shutil.py:1(<module>)
       18    0.001    0.000    0.012    0.001 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.011    0.011 cm.py:1(<module>)
        1    0.000    0.000    0.011    0.011 scale.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
       35    0.000    0.000    0.011    0.000 dataclasses.py:1202(dataclass)
     5709    0.006    0.000    0.011    0.000 typing.py:1304(__setattr__)
        1    0.000    0.000    0.011    0.011 fixtures.py:1(<module>)
        1    0.000    0.000    0.011    0.011 ExifTags.py:1(<module>)
        1    0.000    0.000    0.011    0.011 helpers.py:1(<module>)
       48    0.000    0.000    0.011    0.000 __init__.py:1347(_add_data_doc)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:240(_check_versions)
        1    0.000    0.000    0.011    0.011 artist.py:1(<module>)
        1    0.000    0.000    0.011    0.011 doctest.py:1(<module>)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
      124    0.000    0.000    0.010    0.000 typing.py:709(Optional)
        1    0.000    0.000    0.010    0.010 __init__.py:32(__enter__)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.010    0.010 common.py:1(<module>)
        1    0.000    0.000    0.010    0.010 common.py:8(pyparsing_common)
      190    0.001    0.000    0.010    0.000 typing.py:1570(__getitem__)
        1    0.000    0.000    0.010    0.010 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
       62    0.005    0.000    0.009    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
        3    0.000    0.000    0.009    0.003 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.009    0.002 patches.py:2253(pprint_styles)
       35    0.000    0.000    0.009    0.000 dataclasses.py:588(_repr_fn)
      317    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
    12489    0.007    0.000    0.009    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.009    0.009 _type_aliases.py:1(<module>)
       12    0.000    0.000    0.009    0.001 core.py:1076(parse_string)
        1    0.000    0.000    0.009    0.009 ticker.py:1(<module>)
        1    0.000    0.000    0.008    0.008 table.py:1(<module>)
     8908    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
     6553    0.005    0.000    0.008    0.000 enum.py:686(__call__)
        6    0.000    0.000    0.008    0.001 patches.py:2257(<listcomp>)
        1    0.000    0.000    0.008    0.008 legend.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cm.py:32(_gen_cmap_registry)
      452    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.008    0.008 mathtext.py:1(<module>)
      438    0.005    0.000    0.008    0.000 enum.py:242(__set_name__)
      267    0.001    0.000    0.008    0.000 typing.py:1579(copy_with)
      766    0.001    0.000    0.008    0.000 typing.py:1265(__init__)
     1061    0.002    0.000    0.008    0.000 typing.py:701(<genexpr>)
